17001,Adams County,67103
17003,Alexander County,8238
17005,Bond County,17768
17007,Boone County,54165
17009,Brown County,6937
17011,Bureau County,34978
17013,Calhoun County,5089
17015,Carroll County,15387
17017,Cass County,13642
17019,Champaign County,201081
17021,Christian County,34800
17023,Clark County,16335
17025,Clay County,13815
17027,Clinton County,37762
17029,Coles County,53873
17031,Cook County,5194675
17033,Crawford County,19817
17035,Cumberland County,11048
17037,DeKalb County,105160
17039,De Witt County,16561
17041,Douglas County,19980
17043,DuPage County,916924
17045,Edgar County,18576
17047,Edwards County,6721
17049,Effingham County,34242
17051,Fayette County,22140
17053,Ford County,14081
17055,Franklin County,39561
17057,Fulton County,37069
17059,Gallatin County,5589
17061,Greene County,13886
17063,Grundy County,50063
17065,Hamilton County,8457
17067,Hancock County,19104
17069,Hardin County,4320
17071,Henderson County,7331
17073,Henry County,50486
17075,Iroquois County,29718
17077,Jackson County,60218
17079,Jasper County,9698
17081,Jefferson County,38827
17083,Jersey County,22985
17085,Jo Daviess County,22678
17087,Johnson County,12582
17089,Kane County,515269
17091,Kankakee County,113449
17093,Kendall County,114736
17095,Knox County,52919
17097,Lake County,703462
17099,LaSalle County,113924
17101,Lawrence County,16833
17103,Lee County,36031
17105,Livingston County,38950
17107,Logan County,30305
17109,McDonough County,32612
17111,McHenry County,308760
17113,McLean County,169572
17115,Macon County,110768
17117,Macoupin County,47765
17119,Madison County,269282
17121,Marion County,39437
17123,Marshall County,12640
17125,Mason County,14666
17127,Massac County,15429
17129,Menard County,12705
17131,Mercer County,16434
17133,Monroe County,32957
17135,Montgomery County,30104
17137,Morgan County,35547
17139,Moultrie County,14846
17141,Ogle County,53497
17143,Peoria County,186494
17145,Perry County,22350
17147,Piatt County,16729
17149,Pike County,16430
17151,Pope County,4470
17153,Pulaski County,6161
17155,Putnam County,6006
17157,Randolph County,33476
17159,Richland County,16233
17161,Rock Island County,147546
17163,St. Clair County,270056
17165,Saline County,24913
17167,Sangamon County,197465
17169,Schuyler County,7544
17171,Scott County,5355
17173,Shelby County,22363
17175,Stark County,5994
17177,Stephenson County,47711
17179,Tazewell County,135394
17181,Union County,17808
17183,Vermilion County,81625
17185,Wabash County,11947
17187,Warren County,17707
17189,Washington County,14716
17191,Wayne County,16760
17193,White County,14665
17195,Whiteside County,58498
17197,Will County,677560
17199,Williamson County,66357
17201,Winnebago County,295266
17203,Woodford County,38664
